#rname      startpos  endpos     numreads  covbases  coverage  meandepth   meanbaseq  meanmapq
KI270467.1  1         3920       343       2702      68.9286   5.98265     31.7       35.2
KI270466.1  1         1233       89        1215      98.5401   5.14436     32         38.8
KI270333.1  1         2699       72        1576      58.392    1.65617     31.4       15.3
MT          1         16569      342       11235     67.8074   1.48808     28.6       48.1
KI270337.1  1         1121       16        452       40.3211   0.93934     30.8       4.44
KI270336.1  1         1026       8         445       43.3723   0.555556    32.6       15.9
KI270709.1  1         66860      453       13301     19.8938   0.497039    29.9       6.13
KI270438.1  1         112505     759       15682     13.9389   0.487267    29.6       29.5
KI270733.1  1         179772     1233      37638     20.9365   0.474512    27         17.7
KI270330.1  1         1652       7         241       14.5884   0.322034    29.4       18.6
KI270583.1  1         1400       6         379       27.0714   0.302857    28.7       51.8
KI270338.1  1         1428       5         380       26.6106   0.266106    28.6       0
KI270340.1  1         1428       5         358       25.07     0.266106    26.5       0
GL000225.1  1         211173     821       25442     12.0479   0.262927    28.3       17
GL000220.1  1         161802     608       23871     14.7532   0.257457    26.3       2.76
KI270310.1  1         1201       4         216       17.985    0.253122    30.4       4
GL000216.2  1         176608     668       21409     12.1223   0.23679     29.3       16.6
KI270417.1  1         2043       6         304       14.8801   0.223201    29.6       60
KI270509.1  1         2318       6         449       19.3701   0.196721    30.9       36.7
KI270580.1  1         1553       4         304       19.575    0.19575     27.4       31
KI270517.1  1         3253       7         514       15.8008   0.158008    28.7       31.4
KI270423.1  1         981        2         152       15.4944   0.154944    30.4       24
KI270591.1  1         5796       11        734       12.6639   0.138716    29         28.8
KI270508.1  1         1951       4         200       10.2512   0.128139    31.3       31.5
KI270465.1  1         1774       4         221       12.4577   0.124577    27.9       42
KI270729.1  1         280839     560       19154     6.82028   0.120877    30.1       18.9
KI270735.1  1         42811      76        4314      10.0768   0.116676    30.4       26.6
KI270590.1  1         4685       7         487       10.3949   0.105656    29.6       31.4
KI270744.1  1         168472     243       12407     7.36443   0.10451     28.2       19.9
KI270518.1  1         2186       3         148       6.77036   0.10247     29         2
KI270711.1  1         42210      61        3318      7.8607    0.10244     29.1       17.3
KI270587.1  1         2969       4         294       9.90232   0.0990232   30.6       25
KI270387.1  1         1537       2         152       9.88939   0.0988939   29.4       0
KI270515.1  1         6361       9         568       8.92941   0.0949536   29.4       35.2
GL000219.1  1         179198     231       15090     8.42085   0.094856    29.4       41
GL000226.1  1         15008      18        1150      7.66258   0.0870203   29.3       0
KI270383.1  1         1750       2         152       8.68571   0.0868571   31.1       0
KI270386.1  1         1788       2         152       8.50112   0.0850112   29.6       11
GL000224.1  1         179693     209       12836     7.14329   0.0840767   28.6       13.8
KI270442.1  1         392061     488       26867     6.85276   0.0832804   29.4       35.3
KI270511.1  1         8127       9         497       6.11542   0.0826873   30.7       38.7
GL000214.1  1         137718     156       9317      6.76527   0.0809771   28.4       5.25
KI270396.1  1         1880       2         152       8.08511   0.0808511   30.3       3
KI270529.1  1         1899       2         148       7.79358   0.0800421   30.4       0
KI270732.1  1         41543      45        3013      7.25273   0.0796765   29.8       30.3
KI270736.1  1         181920     268       11888     6.53474   0.0780618   29.1       23.3
KI270538.1  1         91309      94        5191      5.68509   0.0773527   29.3       33.3
KI270519.1  1         138126     146       9680      7.00809   0.0768574   30         41.2
KI270304.1  1         2165       2         150       6.92841   0.0692841   30.5       16
KI270315.1  1         2276       2         152       6.67838   0.0667838   31.6       0
KI270751.1  1         150742     138       9340      6.19602   0.0667631   29.3       20.8
KI270530.1  1         2168       2         143       6.59594   0.0659594   29.4       0
KI270375.1  1         2378       2         147       6.18167   0.0639193   30.2       0
KI270510.1  1         2415       2         150       6.21118   0.0621118   30.6       22
GL000194.1  1         191469     164       10520     5.49436   0.0613311   29.1       19.5
KI270521.1  1         7642       6         447       5.84925   0.0596702   28.4       40
KI270366.1  1         8320       8         415       4.98798   0.0588942   30.3       8.12
KI270411.1  1         2646       2         147       5.55556   0.0574452   28.6       0
KI270746.1  1         66486      52        3729      5.6087    0.0572301   29.7       42.8
KI270374.1  1         2656       2         152       5.72289   0.0572289   31.2       0
KI270756.1  1         79590      80        4005      5.03204   0.0571931   29.6       13.6
KI270507.1  1         5353       4         296       5.52961   0.0560433   32.8       52.2
KI270742.1  1         186739     136       9126      4.88703   0.0533525   30.1       10.7
GL000205.2  1         185591     137       9272      4.99593   0.0530414   29.2       36.5
KI270757.1  1         71251      54        3413      4.79011   0.0527291   30         23.5
KI270435.1  1         92983      68        4236      4.55567   0.0518589   29.8       32
KI270528.1  1         2983       2         149       4.99497   0.0509554   29.1       27
KI270512.1  1         22689      16        867       3.82123   0.0494954   28.8       23.9
KI270720.1  1         39050      30        1650      4.22535   0.0491933   29.8       27.4
KI270722.1  1         194050     129       8246      4.24942   0.0486833   29.9       33
KI270589.1  1         44474      33        2001      4.49926   0.0478257   29         5.94
GL000009.2  1         201709     129       8568      4.2477    0.0466067   29.4       17.7
KI270710.1  1         40176      24        1738      4.32597   0.0452758   31         13
KI270741.1  1         157432     93        6475      4.11289   0.0434854   29.2       2.28
KI270730.1  1         112551     91        4126      3.66589   0.0432959   29.6       8.45
KI270581.1  1         7046       4         253       3.59069   0.0424354   30.8       0
KI270737.1  1         103838     70        3050      2.93727   0.0410447   30.4       12.2
KI270749.1  1         158759     85        5802      3.6546    0.0394245   30         29.1
KI270738.1  1         99375      57        3542      3.56428   0.0390138   29.6       37.4
GL000221.1  1         155397     82        5618      3.61526   0.0384306   29.8       2.17
KI270448.1  1         7992       4         304       3.8038    0.038038    29.1       57.8
GL000195.1  1         182896     93        5867      3.20783   0.036529    29.5       25.8
KI270382.1  1         4215       2         147       3.48754   0.0360617   32.3       0
KI270588.1  1         6158       3         214       3.47515   0.0347515   30.9       1
